timestamp,titulo,precio,ubicacion,habitaciones,baños,metros,link
2025-04-09T17:36:18.248930,Piso en calle Huertas Valdemorillo,205.000 €,Valdemorillo,1 hab.,2 baños,100 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.312892,Casa adosada en Parla,430.000 €,La Ermita (Parla),4 habs.,3 baños,250 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.374855,Piso en calle de Maldonado,2.550.000 €,Castellana (Distrito Barrio de Salamanca. Madrid Capital),5 habs.,2 baños,510 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.445815,Piso en Sureste,443.600 €,Zona Sureste (Torrejón de Ardoz),4 habs.,2 baños,115 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.520772,Piso en Rios Rosas,2.090.000 €,Bellas Vistas (Distrito Tetuán. Madrid Capital),3 habs.,3 baños,187 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.594729,Piso en calle de las Cuevas,233.000 €,Valdeacederas (Distrito Tetuán. Madrid Capital),1 hab.,1 baño,49 m²,https://www.pisos.com/comprar/piso-valdeacederas28039-36759706970_100200/
2025-04-09T17:36:18.661691,Chalet en calle de los Zorzales,576.000 €,Fresno de Torote,4 habs.,2 baños,196 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.729652,Casa adosada en Villalbilla,386.000 €,Villalbilla,2 baños,219 m²,,https://www.pisos.com/comprar/casa_adosada-villalbilla_centro_urbano-53356847907_100200/
2025-04-09T17:36:18.794614,Piso en calle Lagasca,1.350.000 €,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,2 baños,109 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.856579,Piso en Almagro,1.495.000 €,Almagro (Distrito Chamberí. Madrid Capital),2 habs.,2 baños,104 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.922541,Piso en calle del Consejo,259.000 €,Pueblo (Pozuelo de Alarcón),2 habs.,1 baño,55 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:18.989502,"Piso en calle de Mirasierra, 4",260.000 €,Navalcarnero,3 habs.,1 baño,100 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.058222,Piso en calle de O'Donnell,3.400.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,4 baños,303 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.126217,"Casa adosada en calle de los Hermanos San Román, 1",1.380.000 €,Estación-Zona Norte (Pozuelo de Alarcón),5 habs.,4 baños,350 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.205173,Piso en calle Paseo de Sant Cloud,485.000 €,Sector S (Boadilla del Monte),2 habs.,1 baño,90 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.279129,Piso en calle de Adolfo Pérez Esquivel,625.000 €,Parque Empresarial (Las Rozas de Madrid),3 habs.,2 baños,80 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.349053,Chalet en Camarma de Esteruelas,595.000 €,Camarma de Esteruelas,4 habs.,3 baños,231 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.428011,Chalet pareado en calle Undécima,1.490.000 €,Hispanoamérica (Distrito Chamartín. Madrid Capital),4 habs.,2 baños,185 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.501969,Piso en Castillo - Campodón,239.900 €,Castillo-Campodón (Villaviciosa de Odón),2 habs.,1 baño,95 m²,https://www.pisos.com/venta/pisos-madrid/96/#
2025-04-09T17:36:19.566931,Chalet en calle de Asterix,629.990 €,Centro (Rivas-Vaciamadrid),3 habs.,2 baños,250 m²,https://www.pisos.com/venta/pisos-madrid/96/#
