titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,es_outlier
Apartamento en calle del Factor,Palacio (Distrito Centro. Madrid Capital),6500.0,5.0,6.0,492.0,492.0,,https://www.pisos.com/alquilar/apartamento-centro_palacio28013-50091476172_101800/,True
Apartamento en Recoletos,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),5800.0,4.0,3.0,160.0,160.0,,https://www.pisos.com/alquilar/apartamento-recoletos28001-53333542359_101800/,True
Apartamento en calle de Alberto Bosch,Jerónimos (Distrito Retiro. Madrid Capital),14160.0,3.0,5.0,336.0,336.0,,https://www.pisos.com/alquilar/apartamento-jeronimos28014-38355275146_101800/,True
Apartamento en calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),6500.0,3.0,3.0,200.0,200.0,,https://www.pisos.com/alquilar/apartamento-recoletos28001-50033671677_101800/,True
Casa en Zona Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),16000.0,10.0,10.0,1.0,1.0,,https://www.pisos.com/alquilar/casa-zona_carretera_del_plantio28221-52512578627_101800/,True
Casa en Centro,Centro (Las Rozas de Madrid),6000.0,6.0,6.0,495.0,495.0,,https://www.pisos.com/alquilar/casa-las_rozas_de_madrid_centro28232-50878373596_101800/,True
Chalet en La Finca,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),14000.0,5.0,6.0,750.0,750.0,,https://www.pisos.com/alquilar/chalet-somosaguas_humera_los_angeles28223-51710901009_102100/,True
Ático en Castellana,Castellana (Distrito Barrio de Salamanca. Madrid Capital),16000.0,4.0,5.0,280.0,280.0,,https://www.pisos.com/alquilar/atico-salamanca_castellana28046-43371934175_101800/,True
Apartamento en Almagro,Almagro (Distrito Chamberí. Madrid Capital),10500.0,4.0,4.0,258.0,258.0,,https://www.pisos.com/alquilar/apartamento-chamberi_almagro28010-53348433543_101800/,True
Apartamento en El Viso,El Viso (Distrito Chamartín. Madrid Capital),6000.0,4.0,3.0,220.0,,,https://www.pisos.com/alquilar/apartamento-chamartin_el_viso28006-52501115830_101800/,True
Chalet en Valdepastores-Pino Centinela-Las Encinas,Valdepastores-Pino Centinela-Las Encinas (Boadilla del Monte),5700.0,4.0,5.0,450.0,450.0,,https://www.pisos.com/alquilar/chalet-valdepastores_pino_centinela_las_encinas28669-52568807219_108500/,True
Casa adosada en Colina,Colina (Distrito Ciudad Lineal. Madrid Capital),7000.0,4.0,3.0,482.0,482.0,,https://www.pisos.com/alquilar/casa_adosada-ciudad_lineal_colina28043-40025002470_101800/,True
Casa en Valdebebas-Valdefuentes,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),6500.0,3.0,2.0,244.0,244.0,,https://www.pisos.com/alquilar/casa-valdebebas_valdefuentes28055-51743790630_101800/,True
Casa en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),10000.0,5.0,4.0,650.0,650.0,,https://www.pisos.com/alquilar/casa-ciudalcampo_fuente_del_fresno28707-48343774799_101800/,True
Casa en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),5800.0,6.0,6.0,500.0,500.0,,https://www.pisos.com/alquilar/casa-la_moraleja_encinar_de_los_reyes28055-47504999444_101800/,True
Piso en Salamanca,Palacio (Distrito Centro. Madrid Capital),7000.0,4.0,3.0,160.0,160.0,,https://www.pisos.com/alquilar/piso-centro_palacio28005-52529680460_102100/,True
Piso en Salamanca,Palacio (Distrito Centro. Madrid Capital),6000.0,4.0,3.0,195.0,195.0,,https://www.pisos.com/alquilar/piso-centro_palacio28005-52561582155_102100/,True
Piso en Salamanca,Palacio (Distrito Centro. Madrid Capital),9000.0,5.0,4.0,240.0,240.0,,https://www.pisos.com/alquilar/piso-centro_palacio28005-52512678860_102100/,True
Chalet en Ciudalcampo,Casco Antiguo (San Sebastián de los Reyes),6000.0,5.0,4.0,450.0,450.0,,https://www.pisos.com/alquilar/chalet-san_sebastian_de_los_reyes_casco_antiguo28701-37585903758_102100/,True
Chalet en Conde Orgaz,Prosperidad (Distrito Chamartín. Madrid Capital),14000.0,6.0,5.0,600.0,600.0,,https://www.pisos.com/alquilar/chalet-chamartin_prosperidad28043-53337597870_102100/,True
Piso en Salamanca,Goya (Distrito Barrio de Salamanca. Madrid Capital),10000.0,4.0,4.0,333.0,333.0,,https://www.pisos.com/alquilar/piso-goya28006-52531843093_102100/,True
Chalet en El Viso,El Viso (Distrito Chamartín. Madrid Capital),8500.0,5.0,5.0,345.0,345.0,337.0,https://www.pisos.com/alquilar/chalet-chamartin_el_viso28002-53362555914_100500/,True
Piso en Salamanca,Palacio (Distrito Centro. Madrid Capital),6000.0,2.0,2.0,160.0,160.0,,https://www.pisos.com/alquilar/piso-centro_palacio28005-53428859854_102100/,True
Piso en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),6500.0,3.0,3.0,220.0,220.0,,https://www.pisos.com/alquilar/piso-justicia_chueca28001-51700842461_102100/,True
Chalet en Alcobendas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),5800.0,7.0,6.0,550.0,550.0,,https://www.pisos.com/alquilar/chalet-fuencarral_el_pardo_las_tablas28055-47516104208_102100/,True
Chalet en Fuente del Fresno,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),10000.0,4.0,5.0,500.0,500.0,,https://www.pisos.com/alquilar/chalet-dehesa_vieja_puente_cultural28708-51737947233_102100/,True
Chalet en Conde Orgaz,Prosperidad (Distrito Chamartín. Madrid Capital),9000.0,7.0,6.0,1.0,1.0,,https://www.pisos.com/alquilar/chalet-chamartin_prosperidad28043-15091421027_102100/,True
Piso en Palacio,Palacio (Distrito Centro. Madrid Capital),6500.0,5.0,2.0,283.0,283.0,,https://www.pisos.com/alquilar/piso-centro_palacio28013-47576038939_102100/,True
Chalet en Mirasierra,Castilla (Distrito Chamartín. Madrid Capital),12500.0,7.0,7.0,430.0,430.0,,https://www.pisos.com/alquilar/chalet-castilla28034-52573738263_102100/,True
Chalet en Fuente del Fresno,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),8500.0,6.0,6.0,475.0,475.0,,https://www.pisos.com/alquilar/chalet-dehesa_vieja_puente_cultural28708-45017458853_102100/,True
Chalet en Ciudalcampo,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),6000.0,7.0,8.0,934.0,934.0,,https://www.pisos.com/alquilar/chalet-ciudalcampo_fuente_del_fresno28707-46669498608_102100/,True
Chalet en Ciudalcampo,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),10000.0,4.0,4.0,1.0,1.0,,https://www.pisos.com/alquilar/chalet-ciudalcampo_fuente_del_fresno28707-51719172714_102100/,True
